,name,distance,mass,radius,gravity
0,Sirius,0008.6,2.1,1.71,196.85374632913812
1,Canopus,0310,15,71,0.8156262074432974
2,Alpha Centauri,0004.4,1.1,1.2,209.38559643026986
3,Arcturus,0037,1.1,26,0.4460284894372612
4,Vega,0025,2.2,2.7,82.72023562677326
5,Capella,0043,2.6,12,4.9491140974427426
6,Rigel,0860,23,78.9,1.0127224556237
7,Procyon,0011.4,1.5,1.9,113.89395323328705
8,Betelgeuse,0640,20,950,0.006074344172441976
9,Achernar,0144,6.7,9.3,21.233692117420226
10,Hadar,0390,10.5,8.6,38.914280667998426
11,Altair,0017,1.8,1.8,152.280433767469
12,Acrux,0320,18,8.9,62.288676354828866
13,Aldebaran,0065,1.5,44,0.2123745718864495
14,Antares,0600,12,680,0.007113445868030558
15,Spica,0260,11.43,7.47,56.14636402516638
16,Pollux,0034,1.9,8.8,6.725194776404233
17,Fomalhaut,0025,1.9,1.8,160.74045786566168
18,Deneb,"2,600",19,203,0.1263799372672824
19,Mimosa,0350,16,8.4,62.155279088762846
20,Regulus,0077,3.8,3.1,108.38690603220478
21,Adhara,0430,12.5,14,17.481172243714553
22,Shaula,0700,14.5,8.8,51.32385487255861
23,Castor,0052,2.8,2.4,133.24537954653536
24,Gacrux,0088,1.5,84,0.05827057414571517
25,Bellatrix,0240,8.6,5.8,70.07434942688525
26,Elnath,0130,5.0,4.2,77.69409886095356
27,Miaplacidus,0110,3.5,6.8,20.74755044842246
28,Alnilam,"2,000",32,42,4.972422327101028
29,Gamma Velorum,"01,100",9.0,6,68.52619519536104
30,Alnair,0101,4.0,3.4,94.84594490707411
31,Alioth,0081,2.9,4.2,45.06257733935306
32,Alnitak,01050,33,20,22.613644414469146
33,Dubhe,0120,4.25,30,1.2943836870234864
34,Mirfak,0590,8.5,68,0.5038690823188312
35,Wezen,"1,600",17,200,0.11649453183211378
36,Sargas,0270,5.7,26,2.311238536174899
37,Kaus Australis,0140,3.5,6.8,20.74755044842246
38,Avior,0630,9.0,130,0.14597296017946731
39,Alkaid,0104,6.1,3.4,144.640065983288
40,Menkalinan,081,2.39,2.77,85.37976854483333
41,Atria,0390,7,92,0.22669346236650628
42,Alhena,0109,2.8,3.3,70.4768949667625
43,Peacock,0180,5.9,4.8,70.19176243969274
44,Alsephina[2],0080,2.4,2.9,78.22252959280213
